State,Year,Level,undergrad_ratio,professional_ratio,grad_ratio,n
Alabama,2017,Undergrad,55.55555555555556,38.88888888888889,5.555555555555555,36
Alabama,2017,Professional,55.55555555555556,38.88888888888889,5.555555555555555,36
Alabama,2017,Grad,55.55555555555556,38.88888888888889,5.555555555555555,36
Alabama,2017,Total,55.55555555555556,38.88888888888889,5.555555555555555,36
Alabama,2016,Undergrad,50,44.11764705882353,5.88235294117647,34
Alabama,2016,Professional,50,44.11764705882353,5.88235294117647,34
Alabama,2016,Grad,50,44.11764705882353,5.88235294117647,34
Alabama,2016,Total,50,44.11764705882353,5.88235294117647,34
Alabama,2015,Undergrad,48.38709677419355,48.38709677419355,3.225806451612903,31
Alabama,2015,Professional,48.38709677419355,48.38709677419355,3.225806451612903,31
Alabama,2015,Grad,48.38709677419355,48.38709677419355,3.225806451612903,31
Alabama,2015,Total,48.38709677419355,48.38709677419355,3.225806451612903,31
Alabama,2014,Undergrad,37.03703703703704,62.96296296296296,0,27
Alabama,2014,Professional,37.03703703703704,62.96296296296296,0,27
Alabama,2014,Grad,37.03703703703704,62.96296296296296,0,27
Alabama,2014,Total,37.03703703703704,62.96296296296296,0,27
Alabama,2013,Undergrad,36.84210526315789,57.89473684210527,5.263157894736842,19
Alabama,2013,Professional,36.84210526315789,57.89473684210527,5.263157894736842,19
Alabama,2013,Grad,36.84210526315789,57.89473684210527,5.263157894736842,19
Alabama,2013,Total,36.84210526315789,57.89473684210527,5.263157894736842,19
Alabama,2012,Undergrad,45,50,5,20
Alabama,2012,Professional,45,50,5,20
Alabama,2012,Grad,45,50,5,20
Alabama,2012,Total,45,50,5,20
Alabama,2011,Undergrad,55.55555555555556,37.03703703703704,7.4074074074074066,27
Alabama,2011,Professional,55.55555555555556,37.03703703703704,7.4074074074074066,27
Alabama,2011,Grad,55.55555555555556,37.03703703703704,7.4074074074074066,27
Alabama,2011,Total,55.55555555555556,37.03703703703704,7.4074074074074066,27
